Address,Price,Beds,Baths,Size
"9406 W 141st St, Orland Park, IL 60462","$375,000",3 beds,2.5 baths,"2,100 sq ft"
"2435 N Lorel Ave, Chicago, IL 60639","$430,000",4 beds,2 baths,"2,400 sq ft"
"2308 Harvey Ave, Berwyn, IL 60402","$279,000",2 beds,1 bath,895 sq ft
"2238 W Walton St #2, Chicago, IL 60622","$639,900",3 beds,2 baths,— sq ft
"7236 Bonnie Dr, Lakewood, IL 60014","$875,000",5 beds,4.5 baths,"3,600 sq ft"
"427 N Wisconsin Ave, Villa Park, IL 60181","$389,000",4 beds,2 baths,"2,150 sq ft"
"5257 Fargo Ave, Skokie, IL 60077","$549,999",4 beds,2 baths,"1,600 sq ft"
"1810 Grove Ave, Schaumburg, IL 60193","$350,000",3 beds,2.5 baths,"1,600 sq ft"
"Vacant Land Berta Rd, Braceville, IL 60407","$875,000",— beds,— baths,— sq ft
"127 Howe Ter, Barrington, IL 60010","$650,000",4 beds,2 baths,"3,000 sq ft"
"2342 Rock Cyn, New Lenox, IL 60451","$584,900",5 beds,3.5 baths,"3,900 sq ft"
"2633 W 98th St, Evergreen Park, IL 60805","$275,000",4 beds,2 baths,"1,762 sq ft"
"1523 Broadway Ct, Wheeling, IL 60090","$340,000",2 beds,3.5 baths,"1,800 sq ft"
"212 Clubhouse Ln #212, Oswego, IL 60543","$240,000",2 beds,2 baths,"1,130 sq ft"
"3763 N Wilton Ave Unit 1S, Chicago, IL 60613","$740,000",3 beds,3 baths,"1,800 sq ft"
"1112 Dovercliff Way, Crystal Lake, IL 60014","$299,999",3 beds,1 bath,"1,212 sq ft"
"192 Howard Ct #5, Fox Lake, IL 60020","$179,900",2 beds,1 bath,— sq ft
"14759 Massasoit Ave, Oak Forest, IL 60452","$339,900",3 beds,2 baths,"1,827 sq ft"
"4400 N 36th St, Milwaukee, WI 53209","$149,900",4 beds,1 bath,"1,385 sq ft"
"6923 W Foster Ave, Chicago, IL 60656","$354,900",2 beds,1 bath,960 sq ft
"1 Wimbledon Ct, Lincolnshire, IL 60069","$560,000",3 beds,2.5 baths,"2,792 sq ft"
"4432 Tampa Dr, Yorkville, IL 60560","$425,000",4 beds,2.5 baths,"2,127 sq ft"
"2358 Woodhill Ct, Plainfield, IL 60586","$250,000",2 beds,1.5 baths,"1,080 sq ft"
"2327 W 19th St, Chicago, IL 60608","$559,900",4 beds,2 baths,— sq ft
"606 Palladium Dr W, Joliet, IL 60435","$299,000",3 beds,2 baths,"1,672 sq ft"
"1906 Boston St, Chicago Heights, IL 60411","$128,000",4 beds,1 bath,"1,036 sq ft"
