Address,Price,Beds,Baths,Size
"11079 S Bell Ave, Chicago, IL 60643","$595,000",4 beds,2.5 baths,"5,126 sq ft"
"1423 N California Ave, Chicago, IL 60622","$875,000",4 beds,3.5 baths,"4,000 sq ft"
"2827 N Woodard St Unit 1S, Chicago, IL 60618","$330,000",2 beds,1 bath,"1,200 sq ft"
"3900 N Pine Grove Ave #302, Chicago, IL 60613","$325,000",2 beds,2 baths,900 sq ft
"860 Shandrew Dr, Naperville, IL 60540","$439,900",2 beds,2.5 baths,"2,070 sq ft"
"517 Villa Circle Dr #33, Palatine, IL 60067","$325,000",2 beds,2.5 baths,"1,350 sq ft"
"7408 S Eberhart Ave, Chicago, IL 60619","$420,000",6 beds,4 baths,— sq ft
"2715 Harvey Ave, Berwyn, IL 60402","$355,000",4 beds,2 baths,"1,756 sq ft"
"6860 S Tumblecreek Dr, Franklin, WI 53132","$534,900",3 beds,2.5 baths,"2,946 sq ft"
"5900 S King Dr Unit C-3, Chicago, IL 60637","$240,000",3 beds,2 baths,"1,220 sq ft"
"3440 N Lake Shore Dr Unit 14B, Chicago, IL 60657","$364,900",2 beds,1 bath,— sq ft
"4454 S Vincennes Ave Unit 3S, Chicago, IL 60653","$255,000",3 beds,2 baths,"1,700 sq ft"
"6937 S Laflin St, Chicago, IL 60636","$300,000",4 beds,2 baths,— sq ft
"1409 Burr Oak Rd #109, Hinsdale, IL 60521","$415,000",3 beds,2.5 baths,"2,268 sq ft"
"2800 N Lake Shore Dr #1710, Chicago, IL 60657","$525,000",2 beds,1 bath,— sq ft
"1756 Campbell Ave, Des Plaines, IL 60016","$350,000",3 beds,1.5 baths,"1,197 sq ft"
"12251 Tuliptree Ln, Huntley, IL 60142","$344,900",2 beds,2 baths,"1,376 sq ft"
"4412 S Oakenwald Ave, Chicago, IL 60653","$549,000",4 beds,2.5 baths,"2,995 sq ft"
"63 Spyglass Cir, Palos Heights, IL 60463","$439,900",3 beds,2.5 baths,"2,200 sq ft"
"8 W Monroe St #2100, Chicago, IL 60603","$1,290,000",4 beds,2.5 baths,"5,388 sq ft"
"211 Greiving St, Dyer, IN 46311","$275,900",3 beds,1 bath,"1,476 sq ft"
"8629 1/2 W Foster Ave Unit 1A, Chicago, IL 60656","$289,000",3 beds,3 baths,"2,000 sq ft"
"240 E Illinois St #2603, Chicago, IL 60611","$399,900",1 bed,1 bath,— sq ft
"4343 N Clarendon Ave #1102, Chicago, IL 60613","$279,000",2 beds,2 baths,"1,150 sq ft"
"10087 Belmont Ct, St. John, IN 46373","$439,900",4 beds,2 baths,"2,730 sq ft"
"23120 S Hidden Lake Trl, Crete, IL 60417","$799,900",6 beds,5 baths,"5,486 sq ft"
"9145 S Pleasant Ave, Chicago, IL 60643","$640,000",6 beds,3 baths,"2,545 sq ft"
"2240 N Parkside Ave, Chicago, IL 60639","$375,000",4 beds,2 baths,"1,072 sq ft"
"2413 W Fullerton Ave #3, Chicago, IL 60647","$674,500",2 beds,2 baths,"2,000 sq ft"
"570 Newcastle Dr, Roselle, IL 60172","$425,000",3 beds,2.5 baths,"1,743 sq ft"
"12649 S Timberlane Dr, Palos Park, IL 60464","$699,900",4 beds,3.5 baths,"2,520 sq ft"
"1411 N Dunton Ave, Arlington Heights, IL 60004","$1,299,999",4 beds,5 baths,"2,811 sq ft"
"423 W Mitchell Ct, Arlington Heights, IL 60004","$1,599,999",5 beds,4 baths,"3,790 sq ft"
"6307 W Berenice Ave, Chicago, IL 60634","$635,000",5 beds,4.5 baths,"2,302 sq ft"
"3125 W Pershing Rd, Chicago, IL 60632","$475,000",6 beds,3 baths,— sq ft
"685 Brighton Pl, Wheeling, IL 60090","$309,989",3 beds,2.5 baths,"1,525 sq ft"
"3130 W Fullerton Ave Unit 2E, Chicago, IL 60647","$430,000",2 beds,2 baths,"1,250 sq ft"
"25030 Round Barn Rd, Plainfield, IL 60585","$475,000",4 beds,2.5 baths,"2,358 sq ft"
"5316 36th Ave, Kenosha, WI 53144","$239,500",2 beds,1 bath,"1,407 sq ft"
"5467 Osage Ave, Portage, IN 46368","$296,999",4 beds,2 baths,"1,781 sq ft"
"500 W Superior St #802, Chicago, IL 60654","$515,000",2 beds,2 baths,"1,154 sq ft"
"50 E 16th St #406, Chicago, IL 60616","$375,000",2 beds,2 baths,"1,000 sq ft"
"600 N Dearborn St #1101, Chicago, IL 60654","$450,000",2 beds,2 baths,— sq ft
"230 W 109th St, Chicago, IL 60628","$80,000",3 beds,2 baths,"1,218 sq ft"
"3048 Brampton Ln, Dyer, IN 46311","$779,900",5 beds,2.5 baths,"3,898 sq ft"
"9129 S Marshfield Ave, Chicago, IL 60620","$260,000",6 beds,2 baths,"1,192 sq ft"
"3129 10th St, Rockford, IL 61109","$89,000",3 beds,1 bath,952 sq ft
"655 Union St, Platteville, WI 53818","$189,900",4 beds,1 bath,"1,264 sq ft"
"2309 Valberg Dr #161, Stoughton, WI 53589","$499,900",4 beds,2.5 baths,"2,032 sq ft"
"1205 W 107th Pl, Chicago, IL 60643","$210,000",4 beds,2 baths,— sq ft
"1413 W Taylor St, Chicago, IL 60607","$1,500,000",15 beds,5 baths,"5,626 sq ft"
"3804 S 61st Ave, Cicero, IL 60804","$385,000",6 beds,2 baths,"2,811 sq ft"
"757 Whalom Ln, Schaumburg, IL 60173","$324,900",2 beds,2 baths,"1,500 sq ft"
"16 Lindsey Ct E, Bolingbrook, IL 60440","$349,900",3 beds,3.5 baths,"1,939 sq ft"
"8339 S Oglesby Ave, Chicago, IL 60617","$225,900",3 beds,1 bath,"1,780 sq ft"
"1366 Elizabeth St, Crete, IL 60417","$249,900",4 beds,2.5 baths,"3,252 sq ft"
"1106 Rose Ave, Des Plaines, IL 60016","$599,999",5 beds,2 baths,"2,500 sq ft"
"2439 N Burling St Unit G, Chicago, IL 60614","$480,000",2 beds,2 baths,— sq ft
"4418 Euclid Ave Unit 2B, Rolling Meadows, IL 60008","$240,000",2 beds,2 baths,"1,200 sq ft"
"4157 N Bernard St #2, Chicago, IL 60618","$245,000",2 beds,1 bath,— sq ft
"9355 Irving Park Rd #419, Schiller Park, IL 60176","$274,900",2 beds,2 baths,"1,680 sq ft"
"8 W Monroe St #2100, Chicago, IL 60603","$1,290,000",4 beds,2.5 baths,"5,388 sq ft"
"50 E 16th St #406, Chicago, IL 60616","$375,000",2 beds,2 baths,"1,000 sq ft"
"2909 N Sheridan Rd #1607, Chicago, IL 60657","$215,000",1 bed,1 bath,950 sq ft
"1100 Trillium Ln, Shorewood, IL 60404","$509,900",4 beds,2.5 baths,"3,380 sq ft"
"172 Lakeview Road North, Dahinda, IL 61428","$165,000",— beds,— baths,— sq ft
"3101 W 87th St, Evergreen Park, IL 60805","$399,000",— beds,— baths,— sq ft
"Lot 5 & 6 Sandy Ln, Blue River, WI 53518","$160,000",— beds,— baths,— sq ft
"1380 N Tremont Rd, Porter, IN 46304","$189,900",— beds,— baths,— sq ft
"16545 Halsted St, Harvey, IL 60426","$115,000",— beds,— baths,— sq ft
"1030-1034 E 87th St, Chicago, IL 60619","$1,699,950",— beds,— baths,— sq ft
"Lt1 N Range Line Rd, Mequon, WI 53092","$799,000",— beds,— baths,— sq ft
"24858 W Lake Forrest Ln, Shorewood, IL 60404","$185,000",— beds,— baths,— sq ft
"1223 W Lake St, Chicago, IL 60607","$4,500,000",— beds,— baths,— sq ft
"1705 Roosevelt Rd, Valparaiso, IN 46383","$125,000",— beds,— baths,— sq ft
"L136 Staghorn Black Forest Dr, La Valle, WI 53941","$4,900",— beds,— baths,— sq ft
