property_id,list_price,search_promotions,rent_to_own,listing_id,matterport,virtual_tours,status,community,permalink,price_reduced_amount,open_houses,branding,list_date,photos,advertisers,__typename,primary_photo.href,primary_photo.__typename,products.products,products.brand_name,products.__typename,source.id,source.type,source.spec_id,source.plan_id,source.agents,source.__typename,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.__typename,lead_attributes.lead_type,lead_attributes.ready_connect_mortgage.show_contact_a_lender,lead_attributes.ready_connect_mortgage.show_veterans_united,lead_attributes.ready_connect_mortgage.__typename,lead_attributes.__typename,description.name,description.beds,description.baths_consolidated,description.sqft,description.lot_sqft,description.baths_max,description.baths_min,description.beds_min,description.beds_max,description.sqft_min,description.sqft_max,description.type,description.sub_type,description.sold_price,description.sold_date,description.__typename,location.street_view_url,location.address.line,location.address.postal_code,location.address.state,location.address.state_code,location.address.city,location.address.coordinate.lat,location.address.coordinate.lon,location.address.coordinate.__typename,location.address.__typename,location.county.name,location.county.fips_code,location.county.__typename,location.__typename,flags.is_coming_soon,flags.is_new_listing,flags.is_price_reduced,flags.is_foreclosure,flags.is_new_construction,flags.is_pending,flags.is_contingent,flags.__typename,community.description.name,community.description.__typename,community.property_id,community.permalink,community.advertisers,community.promotions,community.__typename,location.address.coordinate,products,primary_photo
9525227759,74900,,,2960852793,False,,for_sale,,185-Camden-Trce-20_Macon_GA_31210_M95252-27759,,,"[{'type': 'Office', 'name': 'New Atlantic Realty Group Inc.', 'photo': None, '__typename': 'Branding'}]",2023-10-25T13:41:17.000000Z,"[{'href': 'https://ap.rdcpix.com/5d92054cfe5788669c61678c28f7ea47l-m2034904332s.jpg', '__typename': 'HomePhoto'}]","[{'type': 'seller', 'builder': None, '__typename': 'HomeAdvertiser'}]",SearchHome,https://ap.rdcpix.com/5d92054cfe5788669c61678c28f7ea47l-m2034904332s.jpg,HomePhoto,"['core.agent', 'core.broker']",essentials,ProductSummary,MIGA,mls,,,"[{'office_name': None, '__typename': 'MlsAgent'}]",MlsSource,True,False,False,OpCityLeadAttributes,co_broke,False,False,ReadyConnectMortgage,LeadAttributes,,,,,16117.0,,,,,,,land,,,,SearchHomeDescription,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=185%20Camden%20Trce%20Lot%2020%2C%20Macon%2C%20GA%2031210&size=640x480&source=outdoor&signature=ySaIdO_pa5GBAOiQ_f_yjdQt_Zc=,185 Camden Trce Lot 20,31210,Georgia,GA,Macon,32.901826,-83.758735,Coordinate,SearchHomeAddress,Bibb,13021,HomeCounty,SearchHomeLocation,,False,,,,,,HomeFlags,,,,,,,,,,
5824369274,150000,,,2971556037,False,,for_sale,,1467-New-Castle-Dr_Macon_GA_31204_M58243-69274,,,"[{'type': 'Office', 'name': 'Gerald Arnold Real Estate', 'photo': None, '__typename': 'Branding'}]",2024-09-02T03:14:34.000000Z,"[{'href': 'https://ap.rdcpix.com/951764fff861ca9ee927375a51170754l-m2492988446s.jpg', '__typename': 'HomePhoto'}]","[{'type': 'seller', 'builder': None, '__typename': 'HomeAdvertiser'}]",SearchHome,https://ap.rdcpix.com/951764fff861ca9ee927375a51170754l-m2492988446s.jpg,HomePhoto,"['core.agent', 'co_broke']",basic_opt_in,ProductSummary,WRGA,mls,,,"[{'office_name': None, '__typename': 'MlsAgent'}]",MlsSource,True,False,False,OpCityLeadAttributes,co_broke,True,True,ReadyConnectMortgage,LeadAttributes,,4.0,2,1880.0,20909.0,,,,,,,single_family,,73000.0,2021-02-05,SearchHomeDescription,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1467%20New%20Castle%20Dr%2C%20Macon%2C%20GA%2031204&size=640x480&source=outdoor&signature=8tZ2-h3sNcq4ZkslhCgcxWyp7Qg=,1467 New Castle Dr,31204,Georgia,GA,Macon,32.827996,-83.699904,Coordinate,SearchHomeAddress,Bibb,13021,HomeCounty,SearchHomeLocation,,True,,,,,,HomeFlags,,,,,,,,,,
6800527067,105000,,,2970438629,False,,for_sale,,1597-Cedar-Ave_Macon_GA_31204_M68005-27067,,,"[{'type': 'Office', 'name': 'Asia Realty by Moland Group', 'photo': None, '__typename': 'Branding'}]",2024-08-06T18:33:50.000000Z,"[{'href': 'https://ap.rdcpix.com/bfe715387fefb6358865b988d78ce707l-m1936112679s.jpg', '__typename': 'HomePhoto'}, {'href': 'https://ap.rdcpix.com/bfe715387fefb6358865b988d78ce707l-m3227844401s.jpg', '__typename': 'HomePhoto'}]","[{'type': 'seller', 'builder': None, '__typename': 'HomeAdvertiser'}]",SearchHome,https://ap.rdcpix.com/bfe715387fefb6358865b988d78ce707l-m1936112679s.jpg,HomePhoto,"['core.agent', 'co_broke']",basic_opt_in,ProductSummary,ATGA,mls,,,"[{'office_name': None, '__typename': 'MlsAgent'}, {'office_name': None, '__typename': 'MlsAgent'}]",MlsSource,True,False,False,OpCityLeadAttributes,co_broke,True,True,ReadyConnectMortgage,LeadAttributes,,3.0,1,1011.0,4792.0,,,,,,,single_family,,8000.0,2019-12-09,SearchHomeDescription,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1597%20Cedar%20Ave%2C%20Macon%2C%20GA%2031204&size=640x480&source=outdoor&signature=cg72CKAbq5SUC9oV_1fuNcg6LuA=,1597 Cedar Ave,31204,Georgia,GA,Macon,32.828459,-83.66416,Coordinate,SearchHomeAddress,Bibb,13021,HomeCounty,SearchHomeLocation,,False,,,,True,,HomeFlags,,,,,,,,,,
6294441873,185000,,,2958040548,False,,for_sale,,2659-Gwinette-Dr_Macon_GA_31204_M62944-41873,,,"[{'type': 'Office', 'name': 'Keller Williams Realty Middle Georgia', 'photo': None, '__typename': 'Branding'}]",2023-07-26T09:43:27.000000Z,"[{'href': 'https://ap.rdcpix.com/cbb73958887fcce0fad19e7637cfeb58l-m2957144814s.jpg', '__typename': 'HomePhoto'}, {'href': 'https://ap.rdcpix.com/cbb73958887fcce0fad19e7637cfeb58l-m3221356135s.jpg', '__typename': 'HomePhoto'}]","[{'type': 'seller', 'builder': None, '__typename': 'HomeAdvertiser'}]",SearchHome,https://ap.rdcpix.com/cbb73958887fcce0fad19e7637cfeb58l-m2957144814s.jpg,HomePhoto,"['core.agent', 'co_broke']",basic_opt_in,ProductSummary,MIGA,mls,,,"[{'office_name': None, '__typename': 'MlsAgent'}, {'office_name': None, '__typename': 'MlsAgent'}]",MlsSource,True,False,False,OpCityLeadAttributes,co_broke,True,True,ReadyConnectMortgage,LeadAttributes,,3.0,2.5,2415.0,20473.0,,,,,,,single_family,,110000.0,2021-08-11,SearchHomeDescription,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2659%20Gwinnett%20Dr%2C%20Macon%2C%20GA%2031204&size=640x480&source=outdoor&signature=_6AE8mGZrXNZnfGz2KEx0xl1iX0=,2659 Gwinnett Dr,31204,Georgia,GA,Macon,32.864038,-83.66262,Coordinate,SearchHomeAddress,Bibb,13021,HomeCounty,SearchHomeLocation,,False,,,,True,,HomeFlags,,,,,,,,,,
9092778024,74900,,,2960852032,False,,for_sale,,136-Camden-Trce-37_Macon_GA_31210_M90927-78024,,,"[{'type': 'Office', 'name': 'New Atlantic Realty Group Inc.', 'photo': None, '__typename': 'Branding'}]",2023-10-25T13:10:33.000000Z,"[{'href': 'https://ap.rdcpix.com/5d98b2faa43d948fb6f30cc15d1237afl-m2034904332s.jpg', '__typename': 'HomePhoto'}]","[{'type': 'seller', 'builder': None, '__typename': 'HomeAdvertiser'}]",SearchHome,https://ap.rdcpix.com/5d98b2faa43d948fb6f30cc15d1237afl-m2034904332s.jpg,HomePhoto,"['core.agent', 'core.broker']",essentials,ProductSummary,MIGA,mls,,,"[{'office_name': None, '__typename': 'MlsAgent'}]",MlsSource,True,False,False,OpCityLeadAttributes,co_broke,False,False,ReadyConnectMortgage,LeadAttributes,,,,,14810.0,,,,,,,land,,,,SearchHomeDescription,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=136%20Camden%20Trce%20Lot%2037%2C%20Macon%2C%20GA%2031210&size=640x480&source=outdoor&signature=TlGM7A5XPFGlWfWeGwxJ1ZYk5kc=,136 Camden Trce Lot 37,31210,Georgia,GA,Macon,32.90092,-83.757877,Coordinate,SearchHomeAddress,Bibb,13021,HomeCounty,SearchHomeLocation,,False,,,,,,HomeFlags,,,,,,,,,,
9004400716,40000,,,2967721981,False,"[{'href': 'https://tour.usamls.net/826-Hightower-Road-Macon-GA-31206/unbranded', 'type': None, '__typename': 'VirtualTour'}]",for_sale,,826-Hightower-Rd_Macon_GA_31206_M90044-00716,6000.0,,"[{'type': 'Office', 'name': 'CENTURY 21 Bunn Real Estate', 'photo': None, '__typename': 'Branding'}]",2024-05-24T04:15:34.000000Z,"[{'href': 'https://ap.rdcpix.com/4326e7ccc8004280e61ea24258921386l-m3111793757s.jpg', '__typename': 'HomePhoto'}, {'href': 'https://ap.rdcpix.com/4326e7ccc8004280e61ea24258921386l-m387421012s.jpg', '__typename': 'HomePhoto'}]","[{'type': 'seller', 'builder': None, '__typename': 'HomeAdvertiser'}]",SearchHome,https://ap.rdcpix.com/4326e7ccc8004280e61ea24258921386l-m3111793757s.jpg,HomePhoto,"['core.agent', 'core.broker']",essentials,ProductSummary,COGA,mls,,,"[{'office_name': None, '__typename': 'MlsAgent'}]",MlsSource,True,False,False,OpCityLeadAttributes,co_broke,False,False,ReadyConnectMortgage,LeadAttributes,,,,,47045.0,,,,,,,land,,,,SearchHomeDescription,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=826%20Hightower%20Rd%2C%20Macon%2C%20GA%2031206&size=640x480&source=outdoor&signature=778kgZRsG_ewHBhXT0G9QTWjUZc=,826 Hightower Rd,31206,Georgia,GA,Macon,32.810769541,-83.65458738,Coordinate,SearchHomeAddress,Bibb,13021,HomeCounty,SearchHomeLocation,,False,False,,,,,HomeFlags,,,,,,,,,,
9502594931,279990,,,2970529555,False,,for_sale,,303-Cody-Dr_Macon_GA_31216_M95025-94931,,,"[{'type': 'Office', 'name': 'LIBERTY REALTY PROFESSIONALS', 'photo': None, '__typename': 'Branding'}]",2024-08-08T16:38:41.000000Z,"[{'href': 'https://ap.rdcpix.com/5fed1eec443e286a02a3c084e43f36d3l-m726033673s.jpg', '__typename': 'HomePhoto'}]","[{'type': 'seller', 'builder': None, '__typename': 'HomeAdvertiser'}]",SearchHome,https://ap.rdcpix.com/5fed1eec443e286a02a3c084e43f36d3l-m726033673s.jpg,HomePhoto,['co_broke'],basic_opt_in,ProductSummary,WRGA,mls,,,"[{'office_name': None, '__typename': 'MlsAgent'}]",MlsSource,True,False,False,OpCityLeadAttributes,co_broke,True,True,ReadyConnectMortgage,LeadAttributes,,5.0,3,2292.0,10890.0,,,,,,,single_family,,,,SearchHomeDescription,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=303%20Cody%20Dr%2C%20Macon%2C%20GA%2031216&size=640x480&source=outdoor&signature=thQ7PbFzYxJ2ExjySXgjTXoKA9c=,303 Cody Dr,31216,Georgia,GA,Macon,32.723993,-83.70472,Coordinate,SearchHomeAddress,Bibb,13021,HomeCounty,SearchHomeLocation,,False,,,True,,,HomeFlags,,,,,,,,,,
5381363121,179900,,,2965187138,False,,for_sale,,4076-Dellwood-Dr_Macon_GA_31204_M53813-63121,7600.0,,"[{'type': 'Office', 'name': 'Connie R. Ham Middle Ga Realty, Inc', 'photo': None, '__typename': 'Branding'}]",2024-03-15T19:55:28.000000Z,"[{'href': 'https://ap.rdcpix.com/5f44b09f126f2122433d395bc76c41ebl-m1018210429s.jpg', '__typename': 'HomePhoto'}, {'href': 'https://ap.rdcpix.com/5f44b09f126f2122433d395bc76c41ebl-m1012935317s.jpg', '__typename': 'HomePhoto'}]","[{'type': 'seller', 'builder': None, '__typename': 'HomeAdvertiser'}]",SearchHome,https://ap.rdcpix.com/5f44b09f126f2122433d395bc76c41ebl-m1018210429s.jpg,HomePhoto,"['core.agent', 'core.broker', 'co_broke']",essentials,ProductSummary,MIGA,mls,,,"[{'office_name': None, '__typename': 'MlsAgent'}, {'office_name': None, '__typename': 'MlsAgent'}]",MlsSource,True,False,False,OpCityLeadAttributes,co_broke,True,True,ReadyConnectMortgage,LeadAttributes,,4.0,3,1500.0,19602.0,,,,,,,single_family,,110000.0,2006-12-13,SearchHomeDescription,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4076%20Dellwood%20Dr%2C%20Macon%2C%20GA%2031204&size=640x480&source=outdoor&signature=C-1lsr7ggUJM_IIUR9kUkD8Kd40=,4076 Dellwood Dr,31204,Georgia,GA,Macon,32.83167,-83.711604,Coordinate,SearchHomeAddress,Bibb,13021,HomeCounty,SearchHomeLocation,,False,False,,,True,,HomeFlags,,,,,,,,,,
9502594931,279990,,,2970529555,False,,for_sale,,303-Cody-Dr_Macon_GA_31216_M95025-94931,,,"[{'type': 'Office', 'name': 'LIBERTY REALTY PROFESSIONALS', 'photo': None, '__typename': 'Branding'}]",2024-08-08T16:38:41.000000Z,"[{'href': 'https://ap.rdcpix.com/5fed1eec443e286a02a3c084e43f36d3l-m726033673s.jpg', '__typename': 'HomePhoto'}]","[{'type': 'seller', 'builder': None, '__typename': 'HomeAdvertiser'}]",SearchHome,https://ap.rdcpix.com/5fed1eec443e286a02a3c084e43f36d3l-m726033673s.jpg,HomePhoto,['co_broke'],basic_opt_in,ProductSummary,WRGA,mls,,,"[{'office_name': None, '__typename': 'MlsAgent'}]",MlsSource,True,False,False,OpCityLeadAttributes,co_broke,True,True,ReadyConnectMortgage,LeadAttributes,,5.0,3,2292.0,10890.0,,,,,,,single_family,,,,SearchHomeDescription,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=303%20Cody%20Dr%2C%20Macon%2C%20GA%2031216&size=640x480&source=outdoor&signature=thQ7PbFzYxJ2ExjySXgjTXoKA9c=,303 Cody Dr,31216,Georgia,GA,Macon,32.723993,-83.70472,Coordinate,SearchHomeAddress,Bibb,13021,HomeCounty,SearchHomeLocation,,False,,,True,,,HomeFlags,,,,,,,,,,
6076298417,67300,,,2969792283,False,,for_sale,,4338-Worsham-Ave_Macon_GA_31206_M60762-98417,,,"[{'type': 'Office', 'name': 'Wynd Realty', 'photo': None, '__typename': 'Branding'}]",2024-07-19T22:19:29.000000Z,"[{'href': 'https://ap.rdcpix.com/7ea83cab67f074842ab60b708117a13cl-m3380334184s.jpg', '__typename': 'HomePhoto'}]","[{'type': 'seller', 'builder': None, '__typename': 'HomeAdvertiser'}]",SearchHome,https://ap.rdcpix.com/7ea83cab67f074842ab60b708117a13cl-m3380334184s.jpg,HomePhoto,"['core.agent', 'core.broker', 'co_broke']",essentials,ProductSummary,ATGA,mls,,,"[{'office_name': None, '__typename': 'MlsAgent'}, {'office_name': None, '__typename': 'MlsAgent'}]",MlsSource,True,False,False,OpCityLeadAttributes,co_broke,True,True,ReadyConnectMortgage,LeadAttributes,,3.0,1,957.0,8276.0,,,,,,,single_family,,33000.0,2022-02-10,SearchHomeDescription,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4338%20Worsham%20Ave%2C%20Macon%2C%20GA%2031206&size=640x480&source=outdoor&signature=lzL96xMUXL6NcyzXNHwphZikaR4=,4338 Worsham Ave,31206,Georgia,GA,Macon,32.78481,-83.650823,Coordinate,SearchHomeAddress,Bibb,13021,HomeCounty,SearchHomeLocation,,False,,,,True,,HomeFlags,,,,,,,,,,
